,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
33,27720.0,32448.6,57300.0,31611.0,69723.0,83500.0,25750.0,21800.0,42799.5,31955.0,30350.0,98000.0,93743.0,73930.0,70200.0,50300.0,98000.0,12300.0,167100.0,21911.7,23900.0,41000.0,20296.3,77419.0,75561.0,116445.0,124900.0,93500.0,32500.4,32000.0
34,27560.0,32686.0,55600.0,33315.0,71446.7,83300.0,25250.0,21760.0,44051.8,33591.0,31250.0,95900.0,92745.0,73987.0,73000.0,49650.0,95200.0,12050.0,161200.0,22113.3,24100.0,43400.0,20740.7,76722.0,75485.0,118756.0,124000.0,91600.0,33055.9,31300.0
35,28240.0,33160.9,56300.0,33587.0,71446.7,85500.0,25250.0,23240.0,43683.5,33227.0,31700.0,96000.0,93743.0,74830.0,72300.0,50900.0,97000.0,12700.0,160400.0,22583.8,24700.0,45950.0,21222.2,78348.0,75789.0,118845.0,124500.0,92000.0,33667.0,31600.0
36,27840.0,32646.5,56000.0,33238.0,71274.3,84900.0,25300.0,23040.0,43757.1,33136.0,31600.0,95600.0,94475.0,76350.0,71800.0,50800.0,96000.0,12300.0,156000.0,22079.7,24400.0,47100.0,20851.9,76877.0,75104.0,117778.0,122000.0,89600.0,34333.7,31200.0
37,28160.0,32171.6,54200.0,33935.0,71532.8,84000.0,24800.0,24000.0,44788.4,33000.0,31600.0,95000.0,93277.0,76406.0,70900.0,50700.0,95500.0,12100.0,153000.0,21978.9,24000.0,47050.0,21555.6,75096.0,73887.0,117333.0,119500.0,87000.0,34167.0,31000.0
38,28960.0,32765.2,56100.0,34710.0,73946.0,86000.0,24650.0,24640.0,46409.1,33136.0,33200.0,101600.0,91880.0,72299.0,69900.0,53300.0,93600.0,12200.0,150500.0,23323.2,24300.0,48100.0,23037.0,75948.0,75409.0,117778.0,119200.0,93000.0,34611.5,31750.0
39,28640.0,33319.2,56000.0,34245.0,73428.9,85300.0,25250.0,24000.0,45672.4,33455.0,32700.0,101500.0,91481.0,72299.0,69500.0,53000.0,94000.0,12300.0,152200.0,22987.1,24650.0,47000.0,22963.0,75793.0,74572.0,116445.0,119000.0,91200.0,35000.4,31000.0
40,28920.0,33754.5,56800.0,34865.0,73601.3,86400.0,27000.0,24160.0,46188.1,33727.0,33200.0,104000.0,92812.0,73143.0,72600.0,53300.0,95800.0,12450.0,151700.0,23390.4,26350.0,49250.0,23666.7,75329.0,74343.0,115378.0,119000.0,91800.0,35555.9,31200.0
41,28960.0,33714.9,55600.0,36027.0,72394.7,85600.0,26500.0,24240.0,45304.1,33364.0,32950.0,103000.0,93144.0,75393.0,71100.0,54000.0,94300.0,12200.0,154200.0,23558.4,26300.0,48000.0,23333.3,74942.0,73811.0,112445.0,117000.0,90500.0,36167.1,30900.0
42,29160.0,33517.0,55800.0,36414.0,73084.2,84100.0,26300.0,24960.0,45230.4,33864.0,33000.0,108100.0,94808.0,75449.0,72000.0,54800.0,94200.0,12250.0,154900.0,23726.4,26400.0,48650.0,23666.7,75019.0,73963.0,111378.0,117900.0,89500.0,37000.4,30650.0
43,29240.0,33081.7,54600.0,36221.0,73859.8,82500.0,25350.0,24920.0,45598.8,33182.0,32900.0,104200.0,94142.0,77419.0,70200.0,54000.0,94000.0,12150.0,154500.0,23827.3,25950.0,47850.0,24148.2,74322.0,76702.0,110222.0,114000.0,87200.0,36556.0,30700.0
44,29000.0,32369.5,54000.0,36066.0,74980.2,82000.0,24800.0,24480.0,46703.7,32727.0,33300.0,105100.0,94275.0,79725.0,70100.0,54000.0,93500.0,12000.0,154000.0,23692.8,27300.0,48350.0,23777.8,73238.0,75257.0,107556.0,113000.0,87000.0,37333.7,30000.0
45,29280.0,32369.5,53200.0,37189.0,78255.2,81600.0,25350.0,25160.0,48692.7,32545.0,34500.0,108000.0,94275.0,79894.0,70200.0,54200.0,93500.0,11700.0,153500.0,24196.9,28500.0,50100.0,24370.4,72851.0,76398.0,106756.0,110000.0,87500.0,37500.4,29350.0
46,29920.0,33121.3,52800.0,37887.0,82305.9,80800.0,24700.0,25600.0,49061.0,33182.0,34500.0,113600.0,99797.0,79332.0,73000.0,54400.0,99300.0,11450.0,152100.0,25877.3,29400.0,50200.0,24444.5,76645.0,77615.0,109245.0,111000.0,88000.0,37111.5,29500.0
47,30000.0,35416.5,53300.0,37383.0,80840.7,81000.0,25350.0,25520.0,48324.4,34000.0,34650.0,111900.0,96737.0,77250.0,76000.0,57400.0,101800.0,11700.0,150200.0,26213.3,28850.0,50800.0,24444.5,74942.0,79061.0,108889.0,112700.0,89200.0,37667.1,30350.0
48,30000.0,36405.8,54300.0,39669.0,80582.2,82000.0,27100.0,25400.0,48177.0,34045.0,34750.0,112000.0,97136.0,75956.0,76400.0,56300.0,101900.0,11800.0,153900.0,26751.1,28900.0,50900.0,24703.7,75406.0,80659.0,108533.0,113500.0,91200.0,37056.0,30850.0
49,30400.0,36959.8,55200.0,39591.0,80840.7,82900.0,27000.0,26000.0,49650.4,33682.0,35800.0,113600.0,97136.0,76237.0,75800.0,56200.0,101900.0,11900.0,157900.0,27490.4,29350.0,51600.0,26000.0,77264.0,79594.0,108711.0,113300.0,90500.0,37111.5,31200.0
