,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
163,"33,850.0","34,071.0","63,500.0","33,000.0","96,100.0","120,000.0","39,300","27,200.0","55,600.0","47,200.0","29,150.0","145,500","128,800","80,305","93,500.0","53,000.0","104,500.0","12,600.0","172,600","41,700.0","27,900.0","53,700.0","32,740.8","76,413","82,900","95,300","129,800","88,200.0","38,400.0","31,700.0"
164,"33,500.0","34,822.9","63,500.0","32,600.0","96,000.0","117,100.0","39,950","27,050.0","56,300.0","47,450.0","28,900.0","147,900","129,900","79,389","93,700.0","52,700.0","104,000.0","12,650.0","171,800","43,000.0","27,450.0","53,300.0","32,407.4","76,180","82,700","95,000","129,600","88,400.0","38,000.0","31,550.0"
165,"33,500.0","34,506.3","64,000.0","32,700.0","97,600.0","122,400.0","40,100","26,700.0","56,600.0","48,200.0","28,650.0","147,800","132,000","80,153","94,900.0","53,900.0","108,000.0","13,000.0","172,000","42,900.0","27,650.0","53,000.0","32,222.2","75,484","82,000","95,000","130,000","89,200.0","37,950.0","31,200.0"
166,"33,400.0","34,743.8","63,500.0","32,800.0","97,400.0","123,000.0","40,700","27,000.0","56,800.0","48,050.0","28,500.0","152,000","131,600","79,847","93,100.0","54,700.0","108,000.0","13,100.0","173,700","44,500.0","27,850.0","52,600.0","32,444.5","76,025","82,400","94,900","131,800","90,800.0","37,550.0","30,850.0"
167,"33,450.0","34,031.5","64,800.0","32,950.0","96,400.0","119,200.0","40,600","27,700.0","56,500.0","48,400.0","28,600.0","147,800","130,000","78,626","92,300.0","54,500.0","106,000.0","12,850.0","174,000","44,300.0","28,100.0","52,300.0","32,148.2","75,174","83,000","94,900","131,000","89,800.0","37,050.0","30,400.0"
168,"33,400.0","34,031.5","64,500.0","32,500.0","97,000.0","120,400.0","41,100","28,000.0","55,300.0","48,300.0","28,600.0","147,700","131,500","79,389","89,200.0","58,300.0","103,000.0","13,100.0","174,000","44,700.0","28,450.0","51,700.0","32,592.6","75,561","82,600","94,900","129,700","89,700.0","36,700.0","30,900.0"
169,"33,000.0","33,873.2","63,200.0","31,950.0","96,000.0","119,000.0","41,900","27,700.0","54,000.0","49,800.0","28,100.0","146,900","135,000","80,534","91,900.0","59,800.0","104,500.0","12,900.0","172,000","44,150.0","27,700.0","51,500.0","31,851.9","76,103","81,500","94,800","128,600","89,600.0","36,500.0","30,300.0"
170,"33,350.0","34,189.8","62,800.0","32,700.0","98,000.0","118,100.0","41,400","28,000.0","54,600.0","49,500.0","28,550.0","149,600","136,000","80,916","91,400.0","60,000.0","109,900.0","12,950.0","172,000","44,600.0","28,100.0","52,500.0","32,222.2","76,025","82,000","94,500","128,600","89,300.0","36,750.0","30,100.0"
171,"33,400.0","33,873.2","62,700.0","32,500.0","97,300.0","118,900.0","40,500","28,850.0","53,600.0","49,300.0","28,600.0","154,000","139,400","79,084","91,000.0","60,100.0","110,800.0","13,850.0","170,000","45,800.0","27,950.0","52,000.0","32,555.6","75,638","84,000","95,000","127,000","89,000.0","36,150.0","30,200.0"
172,"33,150.0","33,873.2","64,600.0","32,400.0","98,300.0","116,700.0","39,350","27,900.0","52,000.0","48,250.0","28,650.0","152,000","137,900","78,702","90,500.0","58,800.0","108,000.0","14,050.0","170,600","44,750.0","28,050.0","52,000.0","32,370.4","75,251","83,000","94,800","127,900","88,600.0","36,150.0","30,050.0"
173,"33,300.0","34,506.3","64,200.0","32,250.0","98,300.0","117,400.0","40,000","27,800.0","51,400.0","48,300.0","28,700.0","150,500","137,900","78,779","90,000.0","62,100.0","106,400.0","14,150.0","170,500","45,850.0","28,000.0","52,200.0","32,037.0","75,871","83,500","96,300","127,900","88,800.0","36,150.0","30,450.0"
174,"32,500.0","35,218.6","64,200.0","32,150.0","96,500.0","113,800.0","39,850","28,250.0","49,950.0","47,600.0","28,300.0","148,000","139,000","78,397","89,600.0","61,000.0","106,200.0","14,650.0","168,200","49,050.0","27,650.0","51,500.0","31,814.8","75,096","82,800","94,500","126,500","88,000.0","35,400.0","31,100.0"
175,"33,450.0","35,139.5","61,100.0","32,800.0","95,300.0","106,000.0","37,700","30,200.0","48,000.0","45,900.0","28,300.0","147,400","139,000","78,015","90,700.0","59,400.0","102,300.0","13,950.0","167,100","48,500.0","27,900.0","52,300.0","32,222.2","75,174","80,500","94,800","127,800","86,100.0","36,200.0","30,500.0"
176,"34,150.0","36,049.6","60,200.0","34,500.0","95,000.0","102,100.0","35,600","32,300.0","48,650.0","43,000.0","29,200.0","149,900","138,600","77,939","90,900.0","55,900.0","104,000.0","13,050.0","168,000","48,600.0","28,800.0","53,100.0","34,444.5","76,490","81,000","94,800","128,000","86,200.0","36,700.0","29,900.0"
177,"33,950.0","35,376.9","62,400.0","34,100.0","96,600.0","104,600.0","37,500","31,800.0","49,550.0","45,500.0","28,900.0","156,500","143,000","81,069","90,700.0","57,000.0","105,700.0","13,800.0","168,000","52,000.0","28,500.0","52,600.0","36,074.1","76,722","82,500","94,800","132,000","86,300.0","36,250.0","30,150.0"
178,"35,350.0","36,445.3","62,800.0","35,400.0","97,900.0","103,000.0","37,200","33,500.0","48,650.0","46,900.0","30,900.0","157,000","144,000","81,221","90,400.0","57,000.0","105,700.0","13,600.0","168,000","53,200.0","30,450.0","55,500.0","36,370.4","81,135","83,700","94,100","132,200","87,500.0","37,300.0","31,100.0"
179,"35,150.0","35,891.3","63,100.0","35,150.0","100,000.0","103,900.0","37,800","32,500.0","49,250.0","46,700.0","30,900.0","157,500","145,000","83,206","94,200.0","58,000.0","104,100.0","13,850.0","165,000","55,000.0","30,650.0","54,900.0","36,444.5","82,916","83,900","94,000","132,000","87,500.0","38,000.0","30,850.0"
180,"34,600.0","35,970.5","62,200.0","34,300.0","98,900.0","102,000.0","36,950","31,350.0","49,050.0","46,350.0","30,300.0","157,500","141,500","84,504","95,800.0","56,800.0","101,500.0","13,550.0","160,200","53,500.0","30,850.0","54,000.0","35,185.2","81,290","83,300","98,500","129,500","88,300.0","39,200.0","30,400.0"
181,"34,150.0","35,218.6","62,000.0","34,250.0","98,100.0","99,400.0","36,800","31,500.0","48,400.0","45,700.0","29,800.0","152,500","137,500","84,122","94,000.0","54,900.0","98,100.0","13,450.0","156,100","55,300.0","29,900.0","52,300.0","34,963.0","78,271","84,800","105,300","125,000","87,500.0","38,400.0","30,150.0"
182,"33,300.0","35,139.5","61,000.0","33,550.0","97,100.0","98,300.0","38,800","30,500.0","48,950.0","46,450.0","29,000.0","149,200","138,900","83,969","93,600.0","54,100.0","97,900.0","13,500.0","154,000","55,900.0","28,900.0","51,800.0","33,407.4","76,567","84,600","105,000","122,500","87,600.0","37,700.0","29,800.0"
183,"33,500.0","35,060.3","61,100.0","34,000.0","98,200.0","98,500.0","38,500","32,000.0","49,000.0","46,000.0","29,500.0","149,900","138,900","87,023","93,000.0","54,300.0","97,300.0","14,000.0","156,500","55,200.0","29,900.0","52,400.0","35,740.8","76,645","82,900","106,000","120,000","87,500.0","37,900.0","29,700.0"
184,"33,200.0","34,981.2","60,600.0","33,800.0","97,200.0","98,400.0","38,650","31,500.0","48,600.0","46,300.0","29,100.0","152,000","137,000","87,252","94,800.0","55,500.0","97,400.0","14,150.0","159,000","54,000.0","29,300.0","51,700.0","35,851.9","76,722","82,300","107,200","120,400","87,400.0","37,000.0","29,650.0"
185,"32,550.0","33,240.0","57,800.0","33,000.0","95,500.0","96,600.0","36,500","31,000.0","47,700.0","46,050.0","28,300.0","151,000","133,500","84,733","94,900.0","53,300.0","94,000.0","13,550.0","157,000","50,500.0","28,000.0","50,200.0","34,814.8","75,871","80,200","105,500","120,400","85,800.0","35,700.0","28,100.0"
186,"32,300.0","33,200.5","57,500.0","32,100.0","94,500.0","92,000.0","36,000","29,100.0","45,750.0","43,300.0","27,500.0","151,000","131,400","84,733","95,600.0","51,700.0","91,200.0","13,900.0","151,600","51,000.0","27,000.0","49,000.0","34,814.8","73,858","79,700","105,600","120,500","85,300.0","35,500.0","28,000.0"
187,"32,950.0","34,506.3","58,400.0","32,700.0","96,000.0","96,500.0","36,600","30,000.0","47,600.0","45,300.0","28,150.0","151,900","133,500","85,954","97,800.0","53,500.0","93,800.0","14,850.0","153,000","52,200.0","28,050.0","50,000.0","35,407.4","76,025","81,600","106,700","123,000","86,500.0","35,650.0","29,950.0"
188,"33,100.0","34,822.9","57,700.0","33,000.0","95,600.0","98,200.0","37,000","30,300.0","47,200.0","45,800.0","28,400.0","151,100","133,900","86,947","98,600.0","53,800.0","96,600.0","15,100.0","152,900","51,800.0","28,600.0","50,000.0","37,851.9","76,413","81,000","105,900","121,400","86,000.0","35,750.0","30,100.0"
189,"33,300.0","34,822.9","57,800.0","33,750.0","97,000.0","98,700.0","37,350","30,750.0","47,100.0","48,100.0","28,550.0","154,000","134,000","87,786","98,800.0","54,100.0","98,500.0","15,450.0","152,500","53,800.0","28,850.0","50,400.0","37,925.9","76,800","81,600","107,000","123,500","87,000.0","35,600.0","30,450.0"
190,"33,400.0","35,297.8","58,800.0","33,550.0","95,800.0","96,600.0","37,500","30,700.0","46,500.0","47,800.0","28,350.0","153,700","134,100","86,260","98,700.0","53,300.0","97,300.0","16,250.0","152,300","53,000.0","28,600.0","50,200.0","38,518.5","77,419","80,900","103,100","124,500","86,300.0","35,800.0","30,350.0"
191,"33,400.0","36,010.0","59,200.0","33,500.0","96,000.0","98,000.0","38,500","30,050.0","46,550.0","49,600.0","28,400.0","156,000","134,900","85,573","98,300.0","53,700.0","98,500.0","16,200.0","152,300","53,400.0","28,650.0","50,000.0","37,407.4","77,109","82,100","103,200","125,800","86,400.0","35,400.0","30,450.0"
192,"33,300.0","35,851.8","58,500.0","32,400.0","95,700.0","98,200.0","38,150","29,600.0","47,700.0","48,500.0","28,250.0","157,000","135,400","86,336","92,500.0","54,500.0","96,200.0","16,600.0","152,800","52,700.0","28,100.0","50,100.0","37,407.4","76,877","82,100","102,500","124,000","86,300.0","35,000.0","30,200.0"
193,"33,400.0","35,535.2","58,200.0","32,250.0","95,900.0","97,700.0","37,750","30,050.0","47,800.0","48,200.0","28,500.0","161,000","135,900","87,786","94,000.0","54,600.0","96,000.0","16,100.0","152,500","51,700.0","28,350.0","50,200.0","38,518.5","77,342","82,600","100,000","124,000","86,300.0","34,650.0","30,400.0"
194,"33,000.0","35,535.2","58,000.0","32,500.0","95,500.0","98,600.0","37,850","29,700.0","47,500.0","48,400.0","28,250.0","160,000","133,600","87,786","97,700.0","54,900.0","93,700.0","17,200.0","151,000","50,900.0","28,600.0","49,850.0","37,925.9","76,722","82,300","100,000","122,800","86,600.0","33,700.0","30,100.0"
195,"33,200.0","35,535.2","57,600.0","32,950.0","96,400.0","99,000.0","38,250","29,500.0","46,700.0","50,400.0","28,200.0","157,500","134,500","87,939","95,500.0","54,300.0","95,500.0","17,100.0","150,000","52,500.0","28,300.0","49,850.0","38,000.0","74,709","84,500","102,000","122,500","85,700.0","33,800.0","30,800.0"
196,"33,100.0","35,297.8","56,600.0","32,450.0","95,800.0","96,700.0","37,600","29,600.0","46,900.0","50,000.0","27,900.0","162,000","133,000","88,015","95,500.0","53,000.0","94,200.0","18,250.0","149,000","53,500.0","28,650.0","49,500.0","39,800.0","77,032","83,500","99,000","122,100","85,700.0","34,150.0","31,050.0"
197,"32,800.0","34,664.6","57,000.0","32,000.0","95,200.0","94,000.0","37,700","29,400.0","46,100.0","50,200.0","27,950.0","166,600","133,000","89,008","95,800.0","53,000.0","94,800.0","18,700.0","148,900","52,500.0","28,200.0","49,250.0","38,800.0","76,567","86,000","98,100","122,500","85,500.0","34,150.0","31,400.0"
198,"32,700.0","34,268.9","56,500.0","31,650.0","95,000.0","95,200.0","39,000","27,900.0","45,100.0","51,700.0","27,650.0","170,000","134,800","89,084","94,200.0","52,800.0","94,500.0","19,000.0","147,600","51,100.0","27,650.0","48,900.0","38,000.0","76,900","85,700","99,600","122,700","85,400.0","33,600.0","31,500.0"
199,"32,500.0","34,500.0","54,900.0","32,200.0","93,200.0","95,200.0","39,000","26,850.0","44,950.0","51,700.0","27,300.0","171,000","133,600","86,260","94,800.0","52,800.0","93,700.0","18,500.0","146,900","49,000.0","27,400.0","47,350.0","36,700.0","76,500","82,500","96,000","123,900","84,700.0","32,400.0","31,000.0"
200,"33,000.0","35,000.0","56,000.0","32,900.0","93,800.0","95,700.0","39,050","28,700.0","46,050.0","51,000.0","28,150.0","171,000","134,600","88,900","94,500.0","53,000.0","94,700.0","17,250.0","147,000","49,050.0","28,200.0","48,900.0","39,250.0","78,500","82,900","96,500","124,000","86,000.0","34,250.0","31,250.0"
201,"33,150.0","35,300.0","56,100.0","33,400.0","94,500.0","95,900.0","38,600","28,750.0","45,900.0","53,000.0","28,150.0","169,000","134,900","89,000","94,600.0","54,100.0","96,000.0","18,450.0","147,900","49,150.0","28,100.0","48,850.0","40,750.0","79,800","82,800","99,000","125,000","86,100.0","34,350.0","31,300.0"
202,"33,650.0","35,200.0","55,700.0","33,900.0","94,500.0","98,100.0","37,850","30,500.0","45,800.0","52,500.0","28,300.0","171,500","135,800","87,000","94,100.0","53,800.0","95,600.0","18,350.0","148,300","48,800.0","30,050.0","49,150.0","42,050.0","80,000","82,800","98,400","125,200","85,500.0","34,550.0","30,800.0"
